Circle Name,Region Name,Division Name,Office Name,Pincode,OfficeType,Delivery,District,StateName
Andhra Pradesh Circle,Kurnool Region,Anantapur Division,A Narayanapuram B.O,515004,BO,Delivery,ANANTHAPUR,Andhra Pradesh
Andhra Pradesh Circle,Kurnool Region,Chittoor Division,Adavibudugur B.O,517425,BO,Delivery,Chittoor,Andhra Pradesh
Andhra Pradesh Circle,Kurnool Region,Chittoor Division,Angallu B.O,517326,BO,Delivery,Madanapalle,Andhra Pradesh
Andhra Pradesh Circle,Kurnool Region,Cuddapah Division,Abbavaram B.O,516270,BO,Delivery,KADAPA,Andhra Pradesh
Andhra Pradesh Circle,Kurnool Region,Hindupur Division,BIT College BO,515202,BO,Delivery,Hindupur,Andhra Pradesh
Andhra Pradesh Circle,Kurnool Region,Hindupur Division,Mundy Bazaar B.O,515591,BO,Delivery,Dharmavaram,Andhra Pradesh
Andhra Pradesh Circle,Kurnool Region,Hindupur Division,Thumukunta Industrial Estate B.O,515211,BO,Delivery,ANANTAPUR,Andhra Pradesh
Andhra Pradesh Circle,Kurnool Region,Kurnool Division,A.Gokulapadu B.O,518467,BO,Delivery,Kurnool,Andhra Pradesh
Andhra Pradesh Circle,Kurnool Region,Nandyal Division,Akaveedu B.O,523372,BO,Delivery,PRAKASAM,Andhra Pradesh
Andhra Pradesh Circle,Vijayawada Region,Bhimavaram Division,A.Vemavaram B.O,534267,BO,Delivery,West Godavari,Andhra Pradesh
Andhra Pradesh Circle,Vijayawada Region,Bhimavaram Division,Kaza B.O,534268,BO,Delivery,Palakol,Andhra Pradesh
Andhra Pradesh Circle,Vijayawada Region,Eluru Division,G.Pangidigudem B.O,534455,BO,Delivery,VIZIANAGARAM,Andhra Pradesh
Andhra Pradesh Circle,Vijayawada Region,Gudivada Division,Achavaram B.O,521333,BO,Delivery,KRISHNA,Andhra Pradesh
Andhra Pradesh Circle,Vijayawada Region,Gudur Division,Adurupalli B.O,524342,BO,Delivery,NELLORE,Andhra Pradesh
Andhra Pradesh Circle,Vijayawada Region,Guntur Division,A.P.High Court S.O,522237,SO,Non Delivery,Guntur,Andhra Pradesh
Andhra Pradesh Circle,Vijayawada Region,Machilipatnam Division,Chinnapuram B.O,521003,BO,Delivery,Machilipatnam,Andhra Pradesh
Andhra Pradesh Circle,Vijayawada Region,Machilipatnam Division,Salempalem B.O,521328,BO,Delivery,Avanigadda,Andhra Pradesh
Andhra Pradesh Circle,Vijayawada Region,Tadepalligudem Division,Adavikolanu B.O,534198,BO,Delivery,Warangal,Andhra Pradesh
Andhra Pradesh Circle,Vijayawada Region,Tadepalligudem Division,Arikirevula B.O,534340,BO,Delivery,Kovvur,Andhra Pradesh
Andhra Pradesh Circle,Vijayawada Region,Tadepalligudem Division,Kadakatla B.O,534102,BO,Non Delivery,Tadepalligudem,Andhra Pradesh
Andhra Pradesh Circle,Vijayawada Region,Tadepalligudem Division,Kondamodalu B.O,534315,BO,Delivery,East Godavari,Andhra Pradesh
Andhra Pradesh Circle,Vijayawada Region,Tenali Division,A F Station B.O,522102,BO,Delivery,Bapatla,Andhra Pradesh
Andhra Pradesh Circle,Vijayawada Region,Tenali Division,Chintalapudi B.O,522124,BO,Delivery,Karim Nagar,Andhra Pradesh
Andhra Pradesh Circle,Visakhapatnam Region,Amalapuram Division,Gangalakurru Agraharam B.O,533221,BO,Delivery,AMLAPURAM,Andhra Pradesh
